2025-10-29 02:33:46 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:33:46 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:34:29 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:34:29 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 1.0 BTCUSDT
2025-10-29 02:34:29 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:34:29 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=1.0)
2025-10-29 02:34:30 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:34:30 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:34:30 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:34:30 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:34:30 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:36:32 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:36:32 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:36:32 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:36:32 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:36:32 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:36:33 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:36:47 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:36:47 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:36:47 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:36:47 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:36:47 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:36:48 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:37:12 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:37:12 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:37:12 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:37:12 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:37:13 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:37:13 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:37:14 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:37:14 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:37:14 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:37:14 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:37:14 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:37:15 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:37:36 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:37:36 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-29 02:37:36 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:37:36 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-29 02:37:38 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:37:38 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:37:38 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:37:38 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:37:38 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:38:57 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:38:57 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:38:57 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:38:57 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:38:58 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:38:59 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:39:06 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:39:06 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:39:06 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:39:06 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:39:07 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:39:07 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:39:09 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:39:09 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-29 02:39:09 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:39:09 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-29 02:39:10 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:39:10 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:39:10 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:39:10 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:39:10 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:39:13 | INFO     | BasicBot | get_account_balance | Fetching account balance...
2025-10-29 02:39:13 | ERROR    | BasicBot | get_account_balance | Failed to get balance: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2025-10-29 02:39:14 | INFO     | BasicBot | get_account_balance | Fetching account balance...
2025-10-29 02:39:14 | ERROR    | BasicBot | get_account_balance | Failed to get balance: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2025-10-29 02:39:22 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:39:22 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 1.0 BNBUSDT
2025-10-29 02:39:22 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:39:22 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BNBUSDT, side=BUY, type=MARKET, quantity=1.0)
2025-10-29 02:39:22 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:39:22 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:39:22 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:39:22 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:39:22 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:40:20 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:40:20 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 1.0 BNBUSDT
2025-10-29 02:40:20 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:40:20 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BNBUSDT, side=BUY, type=MARKET, quantity=1.0)
2025-10-29 02:40:21 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:40:21 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:40:21 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:40:21 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:40:21 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:42:29 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:42:29 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:42:29 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:42:29 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:42:30 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:42:31 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:43:07 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:43:07 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.1 BTCUSDT
2025-10-29 02:43:07 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:43:07 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.1)
2025-10-29 02:43:08 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:43:08 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:43:08 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:43:08 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
